City    deavg    destd    degr3    degr4    degr5    travg    trstd    acavg    acstd   
Bristol      4.546     1.826   0.072   0.092   0.046        0.058       0.128       16.618       9.058   
Castelo de Paiva      4.468     1.791   0.112   0.096   0.049        0.111       0.161       15.895         7.155    
Emden      4.749     1.875    0.032    0.059   0.059        0.056       0.129       15.637       8.293   
Estarreja      4.796     1.834   0.090   0.082   0.038        0.087       0.150       19.203       8.797   
Gaphautes-alpes      4.100     1.698   0.175   0.164   0.052          0.122        0.165         14.637        8.101   
Gelsenkirchen      4.780     1.810   0.077   0.161   0.037        0.093       0.155       24.083        12.521    
Heidelberg      4.648     1.695   0.153   0.156   0.124        0.088       0.156       23.809      11.483   
Istres      4.095     1.754   0.180   0.142   0.037        0.120         0.175        14.643       7.455   
Jena      4.829     1.866   0.053   0.089   0.068        0.075       0.153       18.939       9.755   
Kassel      4.888     1.814   0.078   0.117   0.069        0.071       0.144       24.383      12.233   
Koblenz      4.377     1.767   0.167   0.113   0.080        0.085       0.150       18.716       9.825   
Liverpool      4.558     1.899   0.051   0.090   0.038          0.044          0.114        18.387      11.982   
Livorno      4.277     1.616   0.212   0.181   0.126        0.107       0.167       20.298       9.406   
Paris        3.863        1.257      0.408      0.253      0.152         0.071       0.137         34.264       10.772   
Santa Comba Dão      4.638     1.774   0.129   0.120     0.031         0.116       0.166       17.744       7.882   
Vila Nova de Cerveira      4.909     1.682   0.112   0.098   0.034        0.114       0.169       20.164       7.987   
Wilhelmshaven      4.764       1.932    0.063   0.089   0.081        0.067       0.142       20.868      12.106   
Worms        4.976      1.752   0.078   0.099   0.072        0.075       0.150       20.856       8.687   

